code	legal_name	contact	phone	lead_time_days	active
S100	St George Market LLC   	Mariana Castro	7188063639	41	N	note: contract expired
S101	Green Valley Distribution   	Rafael Nogueira	+1 718 6151305		no
S102	Ipiranga Trading Co   	Thiago Martins	1-718-346-3979	to be agreed	N
S103	NORTH TECH SOLUTIONS	Vanessa Cardoso	7188042127	25 days	Y	note: contract expired
S104	Southern  Star Bakery	Sarah O'Brien	1-305-629-3450		Y
S105	Guarani  Auto Parts	John Pedro Alves	1-212-693-3135		no
S106	  Vida Plena Pharmacy	Sarah O'Brien	646-4348899	23	no	note: contract expired
S107	alliance builders	Bruno Tavares	212-4909908	17	Y
S108	  Central Stationery	Ana Beatriz Rocha	+1 646 8704365	27	N
S109	St George Market LLC	Camila Andrade	1-718-633-6990		N
S110	Green Valley Distribution	Gustavo Pinheiro	+1 415 5798925	to be agreed	no
S111	Ipiranga Trading Co	John Pedro Alves	3054358317		yes
S112	North Tech Solutions	Carlos Eduardo Lima	(415) 598-1086		Y	note: contract expired
S113	Southern Star Bakery   	Fernanda Souza	718-2387296	to be agreed	Y
S114	Guarani Auto Parts	Gustavo Pinheiro	1-646-210-4304	19	N
S115	Vida Plena Pharmacy	Lucas Ferreira	4158701004		yes
S116	alliance builders	Julia Prado	(718) 215-2124	to be agreed	yes
S117	Central Stationery   	Tomás Núñez	1-415-665-7618	17 days	no
